[0.000000] (-) TimerEvent: {}
[0.000640] (-) JobUnselected: {'identifier': 'asurt_msgs'}
[0.000699] (-) JobUnselected: {'identifier': 'camera_interface'}
[0.000758] (-) JobUnselected: {'identifier': 'centerline_calc'}
[0.000860] (-) JobUnselected: {'identifier': 'common_params'}
[0.000918] (-) JobUnselected: {'identifier': 'eufs_msgs'}
[0.000993] (-) JobUnselected: {'identifier': 'interfaces'}
[0.001008] (-) JobUnselected: {'identifier': 'kp_reg'}
[0.001035] (-) JobUnselected: {'identifier': 'lqr'}
[0.001050] (-) JobUnselected: {'identifier': 'moreo'}
[0.001065] (-) JobUnselected: {'identifier': 'mrpython_pcl'}
[0.001079] (-) JobUnselected: {'identifier': 'planning_apf'}
[0.001093] (-) JobUnselected: {'identifier': 'planning_trees'}
[0.001107] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.001120] (-) JobUnselected: {'identifier': 'simple_pure_pursuit'}
[0.001134] (-) JobUnselected: {'identifier': 'slam_manager'}
[0.001147] (-) JobUnselected: {'identifier': 'smoreo'}
[0.001161] (-) JobUnselected: {'identifier': 'smornn'}
[0.001174] (-) JobUnselected: {'identifier': 'supervisor'}
[0.001187] (-) JobUnselected: {'identifier': 'tf_helper'}
[0.001201] (-) JobUnselected: {'identifier': 'tracker'}
[0.001214] (-) JobUnselected: {'identifier': 'trapper'}
[0.001228] (-) JobUnselected: {'identifier': 'visualizer'}
[0.001241] (-) JobUnselected: {'identifier': 'waypoint_cleaner'}
[0.001254] (-) JobUnselected: {'identifier': 'yolov8'}
[0.001267] (-) JobUnselected: {'identifier': 'zed_opencv'}
[0.001281] (-) EventReactorShutdown: {}
